intent_id,intent_name,category,example_utterance,alternative_utterances,response_scope,transaction_sensitive,authentication_required,source_url,validation_status
I001,ouvrir_compte,Compte,Je veux créer mon compte Moov Money,Je veux créer mon compte Moov Money | ouvrir compte | J’ai besoin d’aide pour ouvrir compte | Comment faire pour ouvrir compte ? | je veux creer mon compte moov money,Expliquer les parcours en ligne/agence et les prérequis,Non,Oui,https://moovmoney.ga/devenir-client/,Derived intent seed — validate
I002,activer_compte,Compte,Comment activer mon compte ?,Comment activer mon compte ? | activer compte | J’ai besoin d’aide pour activer compte | Comment faire pour activer compte ? | comment activer mon compte ?,Donner le parcours d’activation et changement du PIN,Non,Oui,https://moovmoney.ga/devenir-client/,Derived intent seed — validate
I003,changer_pin,Sécurité,J’ai reçu un mot de passe temporaire,J’ai reçu un mot de passe temporaire | changer pin | J’ai besoin d’aide pour changer pin | Comment faire pour changer pin ? | j’ai recu un mot de passe temporaire,Guider vers le changement de code sans jamais collecter le PIN,Non,Oui,https://moovmoney.ga/devenir-client/,Derived intent seed — validate
I004,transfert_national,Transfert,Envoie 5 000 FCFA à ce numéro,Envoie 5 000 FCFA à ce numéro | transfert national | J’ai besoin d’aide pour transfert national | Comment faire pour transfert national ? | envoie 5 000 fcfa a ce numero,Expliquer ou initier le transfert avec confirmation forte,Oui,Oui,https://moovmoney.ga/services/transfert-national/,Derived intent seed — validate
I005,tarif_transfert,Tarifs,Combien coûte un transfert de 20 000 F ?,Combien coûte un transfert de 20 000 F ? | tarif transfert | J’ai besoin d’aide pour tarif transfert | Comment faire pour tarif transfert ? | combien coute un transfert de 20 000 f ?,Calculer le tarif depuis le barème officiel,Non,Non,https://moovmoney.ga/grille-tarifaire-client/,Derived intent seed — validate
I006,annuler_transfert,Réclamation,Je me suis trompé de numéro,Je me suis trompé de numéro | annuler transfert | J’ai besoin d’aide pour annuler transfert | Comment faire pour annuler transfert ? | je me suis trompe de numero,Expliquer la procédure d’annulation/escalade et les frais publiés,Oui,Oui,https://moovmoney.ga/grille-tarifaire-client/,Derived intent seed — validate
I007,depot_argent,Dépôt,Où puis-je déposer de l’argent ?,Où puis-je déposer de l’argent ? | depot argent | J’ai besoin d’aide pour depot argent | Comment faire pour depot argent ? | ou puis-je deposer de l’argent ?,Expliquer le dépôt chez un agent et demander la localisation,Non,Non,https://moovmoney.ga/services/depot/,Derived intent seed — validate
I008,retrait_argent,Retrait,Je veux retirer 50 000 F,Je veux retirer 50 000 F | retrait argent | J’ai besoin d’aide pour retrait argent | Comment faire pour retrait argent ? | je veux retirer 50 000 f,Donner le parcours et calculer les frais,Oui,Oui,https://moovmoney.ga/services/retrait/,Derived intent seed — validate
I009,tarif_retrait,Tarifs,Quels sont les frais de retrait ?,Quels sont les frais de retrait ? | tarif retrait | J’ai besoin d’aide pour tarif retrait | Comment faire pour tarif retrait ? | quels sont les frais de retrait ?,Appliquer 3% ou le forfait selon la tranche,Non,Non,https://moovmoney.ga/grille-tarifaire-client/,Derived intent seed — validate
I010,acheter_credit_soi,Télécom,Recharge mon numéro de 1 000 F,Recharge mon numéro de 1 000 F | acheter credit soi | J’ai besoin d’aide pour acheter credit soi | Comment faire pour acheter credit soi ? | recharge mon numero de 1 000 f,Initier l’achat après confirmation,Oui,Oui,https://moovmoney.ga/services/recharges/,Derived intent seed — validate
I011,acheter_credit_tiers,Télécom,Recharge le numéro de ma mère,Recharge le numéro de ma mère | acheter credit tiers | J’ai besoin d’aide pour acheter credit tiers | Comment faire pour acheter credit tiers ? | recharge le numero de ma mere,Collecter numéro et montant puis confirmer,Oui,Oui,https://moovmoney.ga/services/recharges/,Derived intent seed — validate
I012,acheter_forfait_data,Télécom,Je veux un forfait internet de 5 Go,Je veux un forfait internet de 5 Go | acheter forfait data | J’ai besoin d’aide pour acheter forfait data | Comment faire pour acheter forfait data ? | je veux un forfait internet de 5 go,Proposer les pass data officiels,Oui,Oui,https://moovmoney.ga/services/achat-de-forfait/,Derived intent seed — validate
I013,acheter_forfait_voix,Télécom,Je veux un pass appels,Je veux un pass appels | acheter forfait voix | J’ai besoin d’aide pour acheter forfait voix | Comment faire pour acheter forfait voix ? | je veux un pass appels,Proposer les pass voix officiels,Oui,Oui,https://moovmoney.ga/services/achat-de-forfait/,Derived intent seed — validate
I014,payer_seeg,Factures,Paie ma facture SEEG,Paie ma facture SEEG | payer seeg | J’ai besoin d’aide pour payer seeg | Comment faire pour payer seeg ? | paie ma facture seeg,Guider ou initier avec référence et confirmation,Oui,Oui,https://moovmoney.ga/services/paiement-seeg-et-edan/,Derived intent seed — validate
I015,acheter_mobiledan,Factures,Je veux acheter des unités EDAN,Je veux acheter des unités EDAN | acheter mobiledan | J’ai besoin d’aide pour acheter mobiledan | Comment faire pour acheter mobiledan ? | je veux acheter des unites edan,Guider vers MobileDan,Oui,Oui,https://moovmoney.ga/services/paiement-seeg-et-edan/,Derived intent seed — validate
I016,payer_gabon_telecom,Factures,Je veux payer ma fibre,Je veux payer ma fibre | payer gabon telecom | J’ai besoin d’aide pour payer gabon telecom | Comment faire pour payer gabon telecom ? | je veux payer ma fibre,Choisir ADSL/DUO/Fibre et collecter la référence,Oui,Oui,https://moovmoney.ga/services/facture-gabon-telecom/,Derived intent seed — validate
I017,payer_canal_plus,TV,Renouvelle mon abonnement Canal+,Renouvelle mon abonnement Canal+ | payer canal plus | J’ai besoin d’aide pour payer canal plus | Comment faire pour payer canal plus ? | renouvelle mon abonnement canal+,Collecter la carte/abonné et confirmer,Oui,Oui,https://moovmoney.ga/services/canal-et-satcon/,Derived intent seed — validate
I018,payer_satcon,TV,Je veux payer SATCON,Je veux payer SATCON | payer satcon | J’ai besoin d’aide pour payer satcon | Comment faire pour payer satcon ? | je veux payer satcon,Collecter les informations d’abonnement et confirmer,Oui,Oui,https://moovmoney.ga/services/canal-et-satcon/,Derived intent seed — validate
I019,payer_campus_france,Éducation,Je dois payer Campus France,Je dois payer Campus France | payer campus france | J’ai besoin d’aide pour payer campus france | Comment faire pour payer campus france ? | je dois payer campus france,"Expliquer montant, délai et divergence de frais",Oui,Oui,https://moovmoney.ga/services/campus-france/,Derived intent seed — validate
I020,paiement_online,E-commerce,Comment payer sur un site avec Moov Money ?,Comment payer sur un site avec Moov Money ? | paiement online | J’ai besoin d’aide pour paiement online | Comment faire pour paiement online ? | comment payer sur un site avec moov money ?,Décrire le checkout et la confirmation PIN,Oui,Oui,https://moovmoney.ga/moov-money-online-client/,Derived intent seed — validate
I021,paiement_refuse,Paiement,Mon paiement a été refusé,Mon paiement a été refusé | paiement refuse | J’ai besoin d’aide pour paiement refuse | Comment faire pour paiement refuse ? | mon paiement a ete refuse,Vérifier causes simples puis escalader avec contexte,Non,Oui,https://moovmoney.ga/moov-money-online-client/,Derived intent seed — validate
I022,paiement_payxpress,Paiement,Le marchand m’envoie une demande PayXpress,Le marchand m’envoie une demande PayXpress | paiement payxpress | J’ai besoin d’aide pour paiement payxpress | Comment faire pour paiement payxpress ? | le marchand m’envoie une demande payxpress,Expliquer la validation sans code USSD,Oui,Oui,https://moovmoney.ga/payxpress-client/,Derived intent seed — validate
I023,payer_marchand,Paiement,Je veux payer ce marchand,Je veux payer ce marchand | payer marchand | J’ai besoin d’aide pour payer marchand | Comment faire pour payer marchand ? | je veux payer ce marchand,Collecter le code marchand et le montant,Oui,Oui,https://moovmoney.ga/marchand/standards-et-partenaires/,Derived intent seed — validate
I024,transfert_cemac,International,Envoie 5 000 F au Cameroun,Envoie 5 000 F au Cameroun | transfert cemac | J’ai besoin d’aide pour transfert cemac | Comment faire pour transfert cemac ? | envoie 5 000 f au cameroun,"Choisir pays, opérateur, numéro et confirmation forte",Oui,Oui,https://moovmoney.ga/services/transfert-international/,Derived intent seed — validate
I025,pays_gimac,International,Dans quels pays GIMACPAY fonctionne ?,Dans quels pays GIMACPAY fonctionne ? | pays gimac | J’ai besoin d’aide pour pays gimac | Comment faire pour pays gimac ? | dans quels pays gimacpay fonctionne ?,Lister les six pays publiés,Non,Non,https://moovmoney.ga/services/interoperabilite-gimacpay/,Derived intent seed — validate
I026,recevoir_remittance,International,Comment recevoir de l’argent de l’étranger ?,Comment recevoir de l’argent de l’étranger ? | recevoir remittance | J’ai besoin d’aide pour recevoir remittance | Comment faire pour recevoir remittance ? | comment recevoir de l’argent de l’etranger ?,Expliquer la réception automatique via partenaires,Non,Oui,https://moovmoney.ga/services/remittence-entrante/,Derived intent seed — validate
I027,partenaires_remittance,International,Quels partenaires peuvent m’envoyer de l’argent ?,Quels partenaires peuvent m’envoyer de l’argent ? | partenaires remittance | J’ai besoin d’aide pour partenaires remittance | Comment faire pour partenaires remittance ? | quels partenaires peuvent m’envoyer de l’argent ?,Lister les partenaires publiés,Non,Non,https://moovmoney.ga/services/remittence-entrante/,Derived intent seed — validate
I028,lier_uba,Banking,Je veux relier mon compte UBA,Je veux relier mon compte UBA | lier uba | J’ai besoin d’aide pour lier uba | Comment faire pour lier uba ? | je veux relier mon compte uba,Expliquer les prérequis et l’enrôlement,Non,Oui,https://moovmoney.ga/moov-money-uba/,Derived intent seed — validate
I029,transfert_uba_entrant,Banking,Transfère de mon compte UBA vers Moov Money,Transfère de mon compte UBA vers Moov Money | transfert uba entrant | J’ai besoin d’aide pour transfert uba entrant | Comment faire pour transfert uba entrant ? | transfere de mon compte uba vers moov money,Initier après rattachement et confirmation,Oui,Oui,https://moovmoney.ga/moov-money-uba/,Derived intent seed — validate
