chunk_id,record_type,intent,category,subcategory,title,user_question,question_variants,chatbot_answer,detailed_context,procedure,fee_information,limit_information,eligibility,required_documents,channel,ussd_code,security_notice,escalation_condition,keywords,language,source_url,source_title,collected_at,confidence_score,validation_status
KB0001,page,institutionnel,Institutionnel,Accueil,Moov Money Gabon,Que dois-je savoir sur Moov Money Gabon ?,Que propose Moov Money Gabon ? | Donnez-moi des informations sur Moov Money Gabon | moov money gabon,"Présentation générale des services, agrément, accès rapides et coordonnées.","Présentation générale des services, agrément, accès rapides et coordonnées.",,,,,,,,,,"Institutionnel, Moov Money Gabon, institutionnel",fr,https://moovmoney.ga/,Moov Money Gabon,2026-07-21,0.95,Official public source
KB0002,page,client,Client,Onboarding,Devenir client,Que dois-je savoir sur Devenir client ?,Que propose Devenir client ? | Donnez-moi des informations sur Devenir client | devenir client,"Création ou activation d’un compte Moov Money, en ligne ou en agence.","Création ou activation d’un compte Moov Money, en ligne ou en agence.",,,,,,,,,,"Client, Devenir client, client",fr,https://moovmoney.ga/devenir-client/,Devenir client,2026-07-21,0.95,Official public source
KB0003,page,retrait_argent,Client,Catalogue,Services de base,Que dois-je savoir sur Services de base ?,Que propose Services de base ? | Donnez-moi des informations sur Services de base | services de base,"Vue d’ensemble des transferts, dépôts, retraits, recharges et forfaits.","Vue d’ensemble des transferts, dépôts, retraits, recharges et forfaits.",,,,,,,,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",,"Client, Services de base, retrait_argent",fr,https://moovmoney.ga/services-de-base/,Services de base,2026-07-21,0.95,Official public source
KB0004,page,transfert_national,Client,Transfert,Transfert national,Que dois-je savoir sur Transfert national ?,Que propose Transfert national ? | Donnez-moi des informations sur Transfert national | transfert national,Envoi d’argent à un numéro via USSD ou application.,Envoi d’argent à un numéro via USSD ou application.,,,,,,,,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",,"Client, Transfert national, transfert_national",fr,https://moovmoney.ga/services/transfert-national/,Transfert national,2026-07-21,0.95,Official public source
KB0005,page,depot_argent,Client,Cash-in,Dépôt,Que dois-je savoir sur Dépôt ?,Que propose Dépôt ? | Donnez-moi des informations sur Dépôt | depot,Dépôt d’espèces auprès d’un agent contre unités de valeur Moov Money.,Dépôt d’espèces auprès d’un agent contre unités de valeur Moov Money.,,,,,,,,,,"Client, Dépôt, depot_argent",fr,https://moovmoney.ga/services/depot/,Dépôt,2026-07-21,0.95,Official public source
KB0006,page,retrait_argent,Client,Cash-out,Retrait,Que dois-je savoir sur Retrait ?,Que propose Retrait ? | Donnez-moi des informations sur Retrait | retrait,"Retrait d’espèces via revendeur, USSD ou application.","Retrait d’espèces via revendeur, USSD ou application.",,,,,,,,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",,"Client, Retrait, retrait_argent",fr,https://moovmoney.ga/services/retrait/,Retrait,2026-07-21,0.95,Official public source
KB0007,page,client,Client,Télécom,Achat de crédit,Que dois-je savoir sur Achat de crédit ?,Que propose Achat de crédit ? | Donnez-moi des informations sur Achat de crédit | achat de credit,Achat de crédit pour soi-même ou un tiers.,Achat de crédit pour soi-même ou un tiers.,,,,,,,,,,"Client, Achat de crédit, client",fr,https://moovmoney.ga/services/recharges/,Achat de crédit,2026-07-21,0.95,Official public source
KB0008,page,acheter_forfait_voix,Client,Télécom,Achat de forfait,Que dois-je savoir sur Achat de forfait ?,Que propose Achat de forfait ? | Donnez-moi des informations sur Achat de forfait | achat de forfait,Forfaits voix et data pour mobile ou SpeedBox.,Forfaits voix et data pour mobile ou SpeedBox.,,,,,,,,,,"Client, Achat de forfait, acheter_forfait_voix",fr,https://moovmoney.ga/services/achat-de-forfait/,Achat de forfait,2026-07-21,0.95,Official public source
KB0009,page,payer_seeg_edan,Paiement,Factures,SEEG et EDAN,Que dois-je savoir sur SEEG et EDAN ?,Que propose SEEG et EDAN ? | Donnez-moi des informations sur SEEG et EDAN | seeg et edan,Paiement de factures et unités prépayées d’eau/électricité.,Paiement de factures et unités prépayées d’eau/électricité.,,,,,,,,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",,"Paiement, SEEG et EDAN, payer_seeg_edan",fr,https://moovmoney.ga/services/paiement-seeg-et-edan/,SEEG et EDAN,2026-07-21,0.95,Official public source
KB0010,page,payer_gabon_telecom,Paiement,Factures,Gabon Telecom,Que dois-je savoir sur Gabon Telecom ?,Que propose Gabon Telecom ? | Donnez-moi des informations sur Gabon Telecom | gabon telecom,"Paiement ADSL, DUO et Fibre.","Paiement ADSL, DUO et Fibre.",,,,,,,,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",,"Paiement, Gabon Telecom, payer_gabon_telecom",fr,https://moovmoney.ga/services/facture-gabon-telecom/,Gabon Telecom,2026-07-21,0.95,Official public source
