procedure_id,intent,service_name,category,channel,entry_point,step_number,instruction,confirmation_required,security_notice,source_url,validation_status
PR001,transfert_national,Transfert national,Transfert national,USSD,*555#,1,Ouvrir le menu Moov Money.,No,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",https://moovmoney.ga/services/transfert-national/,Official public source
PR002,transfert_national,Transfert national,Transfert national,USSD,*555#,2,Choisir l’option Transfert.,No,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",https://moovmoney.ga/services/transfert-national/,Official public source
PR003,transfert_national,Transfert national,Transfert national,USSD,*555#,3,Choisir le transfert vers un numéro.,No,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",https://moovmoney.ga/services/transfert-national/,Official public source
PR004,transfert_national,Transfert national,Transfert national,USSD,*555#,4,Saisir le numéro du bénéficiaire puis le montant.,No,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",https://moovmoney.ga/services/transfert-national/,Official public source
PR005,transfert_national,Transfert national,Transfert national,USSD,*555#,5,Valider avec le code PIN.,Yes,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",https://moovmoney.ga/services/transfert-national/,Official public source
PR006,transfert_national,Transfert national,Transfert national,Application,Application Moov Money,1,Ouvrir la fonction Transfert.,No,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",https://moovmoney.ga/services/transfert-national/,Official public source
PR007,transfert_national,Transfert national,Transfert national,Application,Application Moov Money,2,Renseigner le numéro du bénéficiaire.,No,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",https://moovmoney.ga/services/transfert-national/,Official public source
PR008,transfert_national,Transfert national,Transfert national,Application,Application Moov Money,3,Saisir le montant.,No,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",https://moovmoney.ga/services/transfert-national/,Official public source
PR009,transfert_national,Transfert national,Transfert national,Application,Application Moov Money,4,Vérifier le récapitulatif.,Yes,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",https://moovmoney.ga/services/transfert-national/,Official public source
PR010,transfert_national,Transfert national,Transfert national,Application,Application Moov Money,5,Confirmer avec le code PIN.,Yes,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",https://moovmoney.ga/services/transfert-national/,Official public source
