case_id,intent,user_scenario,recommended_answer,expected_action,should_escalate,security_sensitive,source_url,validation_status
SUP001,pin_exposed,L’utilisateur communique son code PIN.,"Ne partagez jamais votre code PIN. S’il a été exposé, modifiez-le immédiatement depuis le canal sécurisé et contactez l’assistance en cas de doute.",Protect credentials and direct the user to the secure channel.,Yes,Yes,https://moovmoney.ga/contact/,Derived support workflow — validate with Moov Money
SUP002,pin_bloque,Le code PIN de l’utilisateur est bloqué.,"Aucune réinitialisation ne doit être effectuée dans le chatbot. Orientez l’utilisateur vers le parcours officiel de récupération ou un conseiller, après vérification d’identité.",Escalate for identity verification.,Yes,Yes,https://moovmoney.ga/devenir-client/,Derived support workflow — validate with Moov Money
SUP003,telephone_vole,Le téléphone associé au compte a été volé.,Recommandez de suspendre immédiatement les opérations et de contacter l’assistance officielle afin de sécuriser le compte.,Urgent account protection.,Yes,Yes,https://moovmoney.ga/contact/,Derived support workflow — validate with Moov Money
SUP004,sim_perdue,La carte SIM liée au compte est perdue.,Recommandez de sécuriser la ligne et le compte auprès des canaux officiels. Ne demandez aucun code secret dans le chatbot.,Secure SIM and account.,Yes,Yes,https://moovmoney.ga/contact/,Derived support workflow — validate with Moov Money
SUP005,fraude,L’utilisateur soupçonne une fraude.,"Invitez l’utilisateur à arrêter les opérations, conserver les références disponibles et contacter immédiatement l’assistance officielle.",Fraud escalation.,Yes,Yes,https://moovmoney.ga/contact/,Derived support workflow — validate with Moov Money
SUP006,transaction_non_reconnue,Une transaction inconnue apparaît sur le compte.,"Ne confirmez pas l’origine de la transaction. Demandez uniquement la référence non sensible, puis orientez vers l’assistance pour vérification.",Transaction investigation.,Yes,Yes,https://moovmoney.ga/contact/,Derived support workflow — validate with Moov Money
SUP007,transfert_echoue,Un transfert a échoué.,"Vérifiez que le numéro et le montant étaient corrects, sans demander le PIN. Si le solde a été débité ou si le statut reste incertain, contactez l’assistance avec la référence de transaction.",Check status and escalate when debit is reported.,Conditional,Yes,https://moovmoney.ga/moov-money-online-client/,Derived support workflow — validate with Moov Money
SUP008,paiement_refuse,Un paiement est refusé.,"Vérifiez le solde et les informations saisies. Si le refus persiste, contactez le centre d’assistance officiel.","Basic checks, then support.",Conditional,No,https://moovmoney.ga/moov-money-online-client/,Derived support workflow — validate with Moov Money
SUP009,mauvais_beneficiaire,L’utilisateur a envoyé de l’argent au mauvais numéro.,"Le chatbot ne peut pas annuler la transaction. Orientez immédiatement l’utilisateur vers l’assistance avec la référence, le montant, la date et le numéro concerné, sans demander le PIN.",Urgent human review.,Yes,Yes,https://moovmoney.ga/contact/,Derived support workflow — validate with Moov Money
SUP010,probleme_retrait,Le retrait a échoué ou le montant n’a pas été remis.,"Demandez la référence de transaction et le point de retrait, sans données secrètes. Orientez vers l’assistance si le compte a été débité.",Collect non-sensitive reference and escalate.,Conditional,Yes,https://moovmoney.ga/contact/,Derived support workflow — validate with Moov Money
SUP011,activation_compte,L’utilisateur n’arrive pas à activer son compte.,Rappelez les prérequis publics et orientez vers une agence ou un revendeur agréé lorsque la vérification d’identité est nécessaire.,Guide and escalate for identity checks.,Conditional,Yes,https://moovmoney.ga/devenir-client/,Derived support workflow — validate with Moov Money
SUP012,parler_conseiller,L’utilisateur souhaite parler à un conseiller.,Fournissez uniquement les coordonnées officielles présentes dans les sources indexées et signalez toute divergence avant publication.,Provide verified official contact.,Yes,No,https://moovmoney.ga/contact/,Derived support workflow — validate with Moov Money
