faq_id,faq_type,intent,category,question,question_variants,answer,security_notice,source_url,confidence_score,validation_status
Q001,FAQ publiée,paiement_online,Moov Money Online,Qu’est-ce que Moov Money Online ?,Qu’est-ce que Moov Money Online ? | qu’est-ce que moov money online  ?,Un service permettant de payer sur un site marchand partenaire avec son compte Moov Money.,,https://moovmoney.ga/moov-money-online-client/,0.65,À valider
Q002,FAQ publiée,paiement_online,Moov Money Online,Comment ouvrir un compte Moov Money ?,Comment ouvrir un compte Moov Money ? | comment ouvrir un compte moov money  ?,"Le site renvoie vers une agence ou un revendeur agréé, ainsi que vers le parcours de création en ligne.",,https://moovmoney.ga/moov-money-online-client/,0.65,À valider
Q003,FAQ publiée,paiement_online,Moov Money Online,Le compte doit-il être actif ?,Le compte doit-il être actif ? | Le compte doit-il etre actif ? | le compte doit-il être actif  ?,"Oui, le compte utilisé pour le paiement doit être actif.","Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",https://moovmoney.ga/moov-money-online-client/,0.65,À valider
Q004,FAQ publiée,paiement_online,Moov Money Online,Comment valider un achat en ligne ?,Comment valider un achat en ligne ? | comment valider un achat en ligne  ?,"Choisir Moov Money, renseigner son numéro, recevoir la demande de confirmation et saisir son code PIN.","Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",https://moovmoney.ga/moov-money-online-client/,0.65,À valider
Q005,FAQ publiée,paiement_online,Moov Money Online,Peut-on payer sur un site international ?,Peut-on payer sur un site international ? | peut-on payer sur un site international  ?,Oui lorsque le site ou le marchand est un partenaire agréé du service.,,https://moovmoney.ga/moov-money-online-client/,0.65,À valider
Q006,FAQ publiée,paiement_online,Moov Money Online,Pourquoi un paiement est-il refusé ?,Pourquoi un paiement est-il refusé ? | Pourquoi un paiement est-il refuse ? | pourquoi un paiement est-il refusé  ?,Le site mentionne notamment un solde insuffisant et recommande de contacter le centre d’appel.,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",https://moovmoney.ga/moov-money-online-client/,0.65,À valider
Q007,FAQ publiée,paiement_online,Moov Money Online,Qui gère la livraison ?,Qui gère la livraison ? | Qui gere la livraison ? | qui gère la livraison  ?,La livraison dépend du marchand et de ses propres conditions.,,https://moovmoney.ga/moov-money-online-client/,0.65,À valider
Q008,FAQ publiée,paiement_payxpress,PayXpress,Qu’est-ce que PayXpress ?,Qu’est-ce que PayXpress ? | qu’est-ce que payxpress  ?,Un service de paiement électronique où le marchand initie la demande et le client confirme.,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",https://moovmoney.ga/payxpress-client/,0.65,À valider
Q009,FAQ publiée,paiement_payxpress,PayXpress,Doit-on composer *555# pour payer ?,Doit-on composer *555# pour payer ? | doit-on composer *555# pour payer  ?,"Non, le parcours PayXpress est conçu sans saisie d’un code USSD par le client.",,https://moovmoney.ga/payxpress-client/,0.65,À valider
Q010,FAQ publiée,paiement_payxpress,PayXpress,Comment sécuriser le paiement ?,Comment sécuriser le paiement ? | Comment securiser le paiement ? | comment sécuriser le paiement  ?,Le client confirme la transaction sur son téléphone avec son code PIN Moov Money.,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",https://moovmoney.ga/payxpress-client/,0.65,À valider
Q011,QA dérivée,faq_compte,Compte,Comment changer mon mot de passe temporaire ?,Comment changer mon mot de passe temporaire ? | comment changer mon mot de passe temporaire  ?,Composez *555# et utilisez la fonction de changement de mot de passe.,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",https://moovmoney.ga/devenir-client/,0.65,À valider
Q012,QA dérivée,faq_compte,Compte,Puis-je ouvrir mon compte en ligne ?,Puis-je ouvrir mon compte en ligne ? | puis-je ouvrir mon compte en ligne  ?,"Oui, le site prévoit un parcours en ligne pour une SIM Moov identifiée au nom de l’utilisateur.",,https://moovmoney.ga/devenir-client/,0.65,À valider
Q013,QA dérivée,faq_compte,Compte,Quels documents sont nécessaires pour devenir client ?,Quels documents sont nécessaires pour devenir client ? | Quels documents sont necessaires pour devenir client ? | quels documents sont nécessaires pour devenir client  ?,Une pièce d’identité et une SIM identifiée sont demandées selon le parcours.,,https://moovmoney.ga/devenir-client/,0.65,À valider
Q014,QA dérivée,faq_transfert,Transfert,Comment envoyer de l’argent au Gabon ?,Comment envoyer de l’argent au Gabon ? | comment envoyer de l’argent au gabon  ?,"Utilisez le menu Transfert via *555# ou l’application, puis renseignez le bénéficiaire, le montant et le PIN.","Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",https://moovmoney.ga/services/transfert-national/,0.65,À valider
Q015,QA dérivée,faq_transfert,Transfert,Quel est le montant maximal d’un transfert ?,Quel est le montant maximal d’un transfert ? | quel est le montant maximal d’un transfert  ?,La grille publique indique 1 000 000 FCFA par opération.,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",https://moovmoney.ga/services/transfert-national/,0.65,À valider
Q016,QA dérivée,depot_argent,Dépôt,Le dépôt d’argent est-il payant ?,Le dépôt d’argent est-il payant ? | Le depot d’argent est-il payant ? | le dépôt d’argent est-il payant  ?,"Non, la grille tarifaire publique l’annonce gratuit.",,https://moovmoney.ga/services/depot/,0.65,À valider
Q017,QA dérivée,retrait_argent,Retrait,Combien coûte un retrait ?,Combien coûte un retrait ? | Combien coute un retrait ? | combien coûte un retrait  ?,"3% jusqu’à 160 000 FCFA, puis 5 000 FCFA par tranche publiée jusqu’à 500 000 FCFA.","Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",https://moovmoney.ga/grille-tarifaire-client/,0.65,À valider
Q018,QA dérivée,retrait_argent,Retrait,Quel est le retrait maximal par opération ?,Quel est le retrait maximal par opération ? | Quel est le retrait maximal par operation ? | quel est le retrait maximal par opération  ?,500 000 FCFA selon la grille publique.,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",https://moovmoney.ga/grille-tarifaire-client/,0.65,À valider
Q019,QA dérivée,faq_credit,Crédit,Puis-je recharger un autre numéro ?,Puis-je recharger un autre numéro ? | Puis-je recharger un autre numero ? | puis-je recharger un autre numéro  ?,"Oui, le parcours permet de choisir son propre numéro ou celui d’un tiers.",,https://moovmoney.ga/services/recharges/,0.65,À valider
Q020,QA dérivée,faq_forfaits,Forfaits,Quel code permet d’acheter un forfait ?,Quel code permet d’acheter un forfait ? | quel code permet d’acheter un forfait  ?,"Le site indique *555*4#, l’application MyMoov et l’e-catalogue.",,https://moovmoney.ga/services/achat-de-forfait/,0.65,À valider
Q021,QA dérivée,faq_forfaits,Forfaits,Quel est le pass data le moins cher ?,Quel est le pass data le moins cher ? | quel est le pass data le moins cher  ?,"200 MB à 100 FCFA, valable une heure.",,https://moovmoney.ga/services/achat-de-forfait/,0.65,À valider
Q022,QA dérivée,faq_forfaits,Forfaits,Quel est le plus grand pass data publié ?,Quel est le plus grand pass data publié ? | Quel est le plus grand pass data publie ? | quel est le plus grand pass data publié  ?,"30 GB à 10 000 FCFA, valable 30 jours.",,https://moovmoney.ga/services/achat-de-forfait/,0.65,À valider
Q023,QA dérivée,acheter_forfait_voix,Forfaits,Quel est le pass voix à 500 FCFA ?,Quel est le pass voix à 500 FCFA ? | Quel est le pass voix a 500 FCFA ? | quel est le pass voix à 500 fcfa  ?,"90 minutes, valables un jour.",,https://moovmoney.ga/services/achat-de-forfait/,0.65,À valider
Q024,QA dérivée,payer_seeg_edan,SEEG,Puis-je payer la SEEG avec Moov Money ?,Puis-je payer la SEEG avec Moov Money ? | puis-je payer la seeg avec moov money  ?,"Oui, via *555*6# ou l’application.",,https://moovmoney.ga/services/paiement-seeg-et-edan/,0.65,À valider
Q025,QA dérivée,payer_seeg_edan,SEEG,Combien coûte le paiement d’une facture SEEG ?,Combien coûte le paiement d’une facture SEEG ? | Combien coute le paiement d’une facture SEEG ? | combien coûte le paiement d’une facture seeg  ?,La grille publique affiche 500 FCFA.,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",https://moovmoney.ga/services/paiement-seeg-et-edan/,0.65,À valider
Q026,QA dérivée,payer_gabon_telecom,Gabon Telecom,Quelles factures Gabon Telecom sont prises en charge ?,Quelles factures Gabon Telecom sont prises en charge ? | quelles factures gabon telecom sont prises en charge  ?,"Le site cite ADSL, DUO et Fibre.",,https://moovmoney.ga/services/facture-gabon-telecom/,0.65,À valider
